actors,budget,country,creator,description,duration,genre,public,score,title,year
"Gavin O'Connor, Anthony Tambakis, Cliff Dorfman",25000000,United States,Gavin O'Connor,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ...",140,Action,PG-13,8.1,Warrior,2011
"Chris McKenna, Erik Sommers, Stan Lee",200000000,United States,Jon Watts,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it trul...",148,Action,PG-13,8.2,Spider-Man: No Way Home,2021
"Ewan McGregor, Ewen Bremner, Jonny Lee Miller",1500000,United Kingdom,Danny Boyle,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",93,Drama,R,8.1,Trainspotting,1996
"William Holden, Alec Guinness, Jack Hawkins",3000000,United Kingdom,David Lean,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t...",161,Adventure,PG,8.1,The Bridge on the River Kwai,1957
"Pete Docter, Ronnie Del Carmen, Meg LeFauve",175000000,United States,Pete Docter,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and...",95,Animation,PG,8.1,Inside Out,2015
"Jake LaMotta, Joseph Carter, Peter Savage",18000000,United States,Martin Scorsese,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",129,Biography,R,8.1,Raging Bull,1980
"Frances McDormand, Woody Harrelson, Sam Rockwell",15000000,United Kingdom,Martin McDonagh,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,115,Comedy,R,8.1,"Three Billboards Outside Ebbing, Missouri",2017
"Eduardo Sacheri, Juan José Campanella, Ricardo Darín",2000000,Argentina,Juan José Campanella,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt hi...,129,Drama,R,8.2,The Secret in Their Eyes,2009
"Margaret Mitchell, Sidney Howard, Oliver H.P. Garrett",3977000,United States,Victor Fleming,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civi...,238,Drama,Passed,8.2,Gone with the Wind,1939
"Hugo Weaving, Natalie Portman, Rupert Graves",54000000,United States,James McTeigue,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",132,Action,R,8.2,V for Vendetta,2005
"Frederick Knott, Ray Milland, Grace Kelly",1400000,United States,Alfred Hitchcock,A former tennis star arranges the murder of his adulterous wife.,105,Crime,PG,8.2,Dial M for Murder,1954
"Jack Nicholson, Faye Dunaway, John Huston",6000000,United States,Roman Polanski,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",130,Drama,R,8.1,Chinatown,1974
"Christopher De Vore, Eric Bergren, David Lynch",5000000,United States,David Lynch,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte...",124,Biography,PG,8.2,The Elephant Man,1980
"Jason Flemyng, Dexter Fletcher, Nick Moran",960000,United Kingdom,Guy Ritchie,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",107,Action,R,8.1,"Lock, Stock and Two Smoking Barrels",1998
"Hugh Jackman, Jake Gyllenhaal, Viola Davis",46000000,United States,Denis Villeneuve,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",153,Crime,R,8.2,Prisoners,2013
"Toshirô Mifune, Machiko Kyô, Masayuki Mori",250000,Japan,Akira Kurosawa,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",88,Crime,Not Rated,8.2,Rashomon,1950
"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin",24000000,Japan,Hayao Miyazaki,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ...",119,Animation,PG,8.2,Howl's Moving Castle,2004
